title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
The Living Daylights,6.505,1580,1987-06-29,191185897,130,40000000,20.543,"['Action', 'Adventure', 'Thriller']",5,150.0,0.5086437536988527,0.406915,0.5086438,0.2034575,337423.08
The Good Son,6.74,857,1993-09-24,60613008,87,17000000,25.649,"['Thriller', 'Drama']",3,90.0,0.5923379105222829,0.2369352,0.5923379,0.4738703,125535.61
Seeking Justice,5.892,928,2011-09-02,14089528,105,17000000,14.037,"['Action', 'Drama', 'Thriller']",4,120.0,0.3534113919668105,0.2120468,0.3534114,0.2120468,69707.43
Space Cowboys,6.373,1237,2000-08-04,128884132,130,65000000,14.651,"['Action', 'Adventure', 'Thriller']",5,150.0,0.3716523062809464,0.2973218,0.3716523,0.1486609,322660.96
Miss Julie,5.6,130,2014-09-07,5000000,130,5500000,7.49,"['Drama', 'Romance']",5,150.0,0.0596097706103467,0.0238439,0.0596098,0.0596098,31200.0
55 Days at Peking,7.031,144,1963-05-06,10000000,154,17000000,15.285,"['Action', 'Adventure', 'Drama', 'History', 'War']",6,180.0,0.3894975798141344,0.2336985,0.3115981,0.3115981,64800.0
Secretary,6.791,1450,2002-09-20,9304609,107,4000000,28.194,"['Comedy', 'Drama', 'Romance']",4,120.0,0.6266209561013946,0.3759726,0.626621,0.626621,32765.53
The Purge: Anarchy,6.649,6042,2014-07-17,111928365,104,9000000,36.694,"['Horror', 'Thriller']",4,120.0,0.7180668382177778,0.2872267,0.7180668,0.2872267,167914.04
How to Lose Friends & Alienate People,5.978,690,2008-10-02,17286299,110,27000000,10.883,"['Comedy', 'Romance', 'Drama']",4,120.0,0.2404981480234238,0.1442989,0.2404981,0.2404981,97543.56
Airport,6.379,339,1970-05-29,100489151,137,10000000,14.059,"['Action', 'Drama', 'Thriller']",5,150.0,0.3540823458449806,0.2124494,0.3540823,0.2124494,156586.98
